iter	Passed	Remaining
0	57	57532
1	58	28972
2	58	19400
3	58	14610
4	58	11724
5	59	9808
6	59	8451
7	59	7427
8	60	6619
9	60	5986
10	60	5457
11	60	5020
12	61	4651
13	61	4338
14	61	4061
15	62	3826
16	62	3616
17	62	3425
18	63	3256
19	63	3110
20	63	2976
21	64	2853
22	64	2741
23	64	2640
24	65	2546
25	65	2458
26	65	2375
27	66	2297
28	66	2225
29	66	2159
30	67	2098
31	67	2043
32	67	1989
33	68	1938
34	68	1889
35	68	1845
36	69	1802
37	69	1762
38	69	1722
39	70	1682
40	70	1645
41	70	1612
42	70	1580
43	71	1548
44	71	1519
45	71	1490
46	72	1464
47	72	1437
48	72	1414
49	73	1390
50	73	1366
51	73	1344
52	74	1322
53	74	1302
54	74	1281
55	74	1261
56	75	1242
57	75	1223
58	75	1206
59	75	1188
60	76	1171
61	76	1155
62	76	1141
63	77	1126
64	77	1112
65	77	1098
66	77	1084
67	78	1071
68	78	1058
69	78	1045
70	78	1033
71	79	1021
72	79	1009
73	79	998
74	80	987
75	80	976
76	80	965
77	80	955
78	81	945
79	81	935
80	81	927
81	82	918
82	82	906
83	82	899
84	82	891
85	83	884
86	83	876
87	83	867
88	84	860
89	84	852
90	84	845
91	84	838
92	85	831
93	85	825
94	85	819
95	86	812
96	86	805
97	86	798
98	87	792
99	87	786
100	87	780
101	87	774
102	88	769
103	88	763
104	88	757
105	89	752
106	89	747
107	89	741
108	90	736
109	90	731
110	90	725
111	90	720
112	91	715
113	91	710
114	91	705
115	91	700
116	92	695
117	92	690
118	92	685
119	92	681
120	93	677
121	93	672
122	93	668
123	94	664
124	94	660
125	94	656
126	94	652
127	95	648
128	95	644
129	95	640
130	95	636
131	96	632
132	96	628
133	96	625
134	97	622
135	97	619
136	97	615
137	98	612
138	98	609
139	98	606
140	99	603
141	99	600
142	99	596
143	99	593
144	100	590
145	100	588
146	100	585
147	101	582
148	101	580
149	101	577
150	102	574
151	102	571
152	102	569
153	103	566
154	103	563
155	103	560
156	103	557
157	104	555
158	104	552
159	104	550
160	104	546
161	105	544
162	105	541
163	105	539
164	106	536
165	106	534
166	106	531
167	106	529
168	107	527
169	107	524
170	107	522
171	108	520
172	108	517
173	108	515
174	108	513
175	109	511
176	109	509
177	109	507
178	110	504
179	110	502
180	110	500
181	111	498
182	111	497
183	111	495
184	112	493
185	112	491
186	112	489
187	112	487
188	113	485
189	113	484
190	113	482
191	114	480
192	114	478
193	114	476
194	114	474
195	115	472
196	115	470
197	115	468
198	115	466
199	116	464
200	116	463
201	116	461
202	117	459
203	117	458
204	117	456
205	117	454
206	118	452
207	118	451
208	118	449
209	119	447
210	119	446
211	119	444
212	119	442
213	120	440
214	120	439
215	120	437
216	120	436
217	121	434
218	121	433
219	121	431
220	122	430
221	122	428
222	122	427
223	123	426
224	123	424
225	123	423
226	124	422
227	124	421
228	124	419
229	124	418
230	125	416
231	125	415
232	125	413
233	125	412
234	126	410
235	126	409
236	126	407
237	127	406
238	127	405
239	127	404
240	127	403
241	128	401
242	128	400
243	128	399
244	129	397
245	129	396
246	129	395
247	129	393
248	130	392
249	130	391
250	130	390
251	130	388
252	131	387
253	131	386
254	131	385
255	132	384
256	132	383
257	132	382
258	133	380
259	133	380
260	133	379
261	134	378
262	134	377
263	134	375
264	135	374
265	135	373
266	135	372
267	136	371
268	136	370
269	136	369
270	136	368
271	137	367
272	137	365
273	137	364
274	137	363
275	138	362
276	138	361
277	138	360
278	139	359
279	139	358
280	139	357
281	140	356
282	140	355
283	140	354
284	140	353
285	141	352
286	141	351
287	141	350
288	142	349
289	142	348
290	142	347
291	143	346
292	143	346
293	143	345
294	144	344
295	144	343
296	144	342
297	144	341
298	145	340
299	145	339
300	145	338
301	146	337
302	146	336
303	146	336
304	147	335
305	147	334
306	147	333
307	148	332
308	148	331
309	148	330
310	148	329
311	149	329
312	149	328
313	149	327
314	150	326
315	150	325
316	150	324
317	150	323
318	151	322
319	151	321
320	151	320
321	151	320
322	152	319
323	152	318
324	152	317
325	153	316
326	153	315
327	153	314
328	153	314
329	154	313
330	154	312
331	154	311
332	155	310
333	155	309
334	155	308
335	155	308
336	156	307
337	156	306
338	156	305
339	157	305
340	157	304
341	157	303
342	158	302
343	158	302
344	158	301
345	158	300
346	159	299
347	159	298
348	159	297
349	159	297
350	160	296
351	160	295
352	160	294
353	161	293
354	161	293
355	161	292
356	161	291
357	162	291
358	162	290
359	162	289
360	163	289
361	163	288
362	163	287
363	164	286
364	164	286
365	164	285
366	165	284
367	165	283
368	165	283
369	166	282
370	166	282
371	166	281
372	166	280
373	167	279
